Subject,Educ,Income2005
1176,16,77000
1179,12,35000
1184,16,95000
1186,16,140000
1200,16,9000
1221,12,16200
1222,12,38000
1237,12,24000
1247,12,8000
1249,12,80000
1250,12,17000
1251,12,31000
1253,12,21600
1257,12,23000
1268,16,90000
1272,12,39000
1276,16,46000
1286,16,32000
1293,16,36000
1311,16,130000
1312,12,18000
1319,12,43000
1325,16,80000
1327,12,53000
1347,16,157280
1351,12,13000
1353,12,20000
1357,12,38000
1360,12,27000
1366,12,29800
1367,16,16000
1368,16,39000
1374,16,15700
1383,12,80000
1384,12,26000
1386,12,52000
1394,16,62000
1397,12,45000
1416,12,12000
1417,12,31000
1418,12,41000
1419,12,22000
1425,12,38000
1426,12,38685
1429,16,30000
1432,16,42000
1438,12,27000
1462,12,28600
1468,12,29000
1477,16,70000
1481,16,71000
1490,12,25000
1493,12,245549
1495,12,15000
1499,12,16000
1500,12,50000
1502,16,12000
1506,12,42000
1507,12,22000
1510,16,26000
1515,12,67000
1516,12,23300
1521,12,41000
1522,16,51300
1527,12,28000
1531,12,26000
1532,12,17407
1534,12,52000
1539,12,30000
1541,12,41400
1551,12,19000
1552,16,9200
1553,12,40000
1554,12,59000
1556,12,32176
1560,12,19000
1564,16,3400
1569,16,63000
1574,16,47000
1577,12,59000
1580,12,56000
1585,12,60000
1587,16,27300
1590,12,16000
1591,12,7000
1592,12,10000
1593,12,17000
1595,12,120000
1597,12,52000
1599,12,24000
1601,16,368302
1602,12,90000
1605,12,40000
1607,12,19200
1608,12,11040
1610,12,18000
1617,12,20000
1622,16,60000
1626,16,73000
1627,12,20000
1629,12,100000
1631,16,85000
1635,12,40000
1636,12,56000
1637,12,15000
1640,12,48000
1641,12,110000
1651,12,153334
1656,12,33000
1670,16,105000
1721,12,80000
1729,12,24000
1733,16,115000
1740,16,19000
1750,12,44000
1763,16,22000
1766,16,12000
1768,12,8000
1769,12,29515
1786,12,46800
1788,12,56856
1790,12,34000
1802,12,27915
1808,16,125000
1826,12,45000
1835,12,40000
1838,12,17000
1839,12,18000
1860,12,29000
1862,12,900
1863,12,20000
1865,12,28000
1866,12,25000
1867,12,52000
1869,12,14000
1872,12,35000
1873,12,22000
1878,12,8000
1881,12,40000
1884,12,12500
1885,16,35000
1887,12,11000
1890,12,18000
1891,12,26800
1899,12,32000
1902,12,40574
1904,12,26000
1905,12,45000
1910,12,55000
1917,12,48000
1918,12,68000
1924,16,65000
1925,12,44000
1926,12,16000
1927,12,21455
1930,16,45000
1947,12,16000
1950,16,22000
1954,16,4000
1957,12,47000
1959,12,36000
1961,12,100000
1962,12,25000
1963,12,67000
1964,12,30000
1965,12,25000
1966,12,42000
1967,16,40000
1971,12,65000
1975,12,41000
1976,16,36000
1977,12,50000
1985,12,25000
1988,12,46000
1990,12,26000
1996,12,32000
1998,12,9724
2002,12,12000
2003,12,8000
2005,16,78000
2012,12,32000
2013,12,9200
2014,12,27000
2018,12,27640
2020,12,26000
2032,12,32000
2033,12,157117
2034,16,52000
2035,12,25000
2045,12,30000
2046,12,24000
2049,16,33000
2055,12,30000
2056,16,135000
2061,16,50000
2066,12,29000
2067,12,60000
2068,16,35000
2070,12,60000
2072,12,4000
2073,12,22000
2074,12,58000
2075,12,66000
2076,12,39144
2079,12,28000
2080,12,17000
2081,12,46000
2083,16,26000
2086,12,27000
2087,12,40000
2089,12,40000
2090,12,37000
2093,12,48000
2094,12,29000
2096,16,92000
2097,12,71000
2100,12,52000
2101,12,90000
2102,12,24000
2104,12,34500
2106,12,52000
2122,12,26000
2124,16,115000
2135,12,70000
2138,12,36000
2140,12,55000
2144,16,57000
2146,12,14000
2152,12,28000
2153,12,12000
2156,12,40500
2157,12,24000
2158,12,3600
2159,16,70000
2165,12,12000
2167,16,48000
2168,16,57600
2173,12,52000
2178,16,44000
2180,12,40000
2182,12,65000
2196,12,5280
2201,12,32000
2202,16,35000
2203,12,22500
2208,12,25000
2216,12,43000
2218,16,70000
2220,16,82000
2222,16,46000
2223,12,55000
2225,12,56000
2227,12,28263
2229,12,33000
2230,16,40000
2243,16,30000
2247,12,58000
2250,12,20000
2251,12,7225
2261,12,32000
2264,12,13000
2266,12,15000
2270,12,15000
2271,12,13000
2286,16,26000
2291,16,60200
2299,16,47000
2301,16,71500
2304,12,50000
2313,12,25000
2314,12,50000
2316,12,30000
2322,12,46000
2323,16,100000
2324,16,102000
2326,12,44000
2327,12,26000
2328,16,31000
2329,16,40000
2334,12,37500
2361,12,99000
2372,16,65000
2380,12,22000
2383,12,8500
2394,12,60000
2396,12,13986
2400,12,24024
2401,12,48000
2404,12,28800
2412,12,15000
2413,12,40000
2418,12,35000
2420,12,7500
2425,12,35000
2427,12,75000
2434,12,20000
2435,12,35000
2436,12,78000
2439,12,32000
2444,16,50000
2450,12,14750
2451,12,23100
2452,12,30000
2459,12,4560
2460,12,10875
2470,12,46500
2471,12,20000
2473,12,42000
2475,12,56000
2478,12,20376
2479,12,25000
2483,12,29000
2494,16,72000
2527,12,60000
2528,12,6000
2529,12,5000
2530,12,27000
2535,12,41000
2537,12,13100
2539,12,38000
2540,12,25000
2541,12,70000
2544,16,98000
2545,16,103000
2547,12,52000
2550,16,36660
2551,16,39500
2552,16,33500
2553,12,39800
2556,12,19000
2557,16,96000
2564,12,16000
2565,16,44000
2570,16,15300
2572,16,70500
2574,12,32000
2578,12,22000
2579,12,26350
2582,12,34000
2584,12,44000
2590,16,60000
2591,12,34000
2592,12,22800
2594,12,62000
2606,16,51000
2607,16,35000
2610,12,25000
2614,12,50000
2615,12,17000
2629,12,39264
2633,16,92000
2637,16,48000
2650,12,15000
2651,12,3983
2652,12,31658
2654,12,20000
2658,12,8000
2659,12,2000
2665,12,24000
2669,12,5000
2670,12,23500
2672,12,11000
2679,12,3890
2682,12,12000
2689,12,30000
2690,12,28000
2699,12,8000
2701,16,88000
2702,16,91500
2703,16,125000
2706,12,36500
2707,12,24000
2708,12,25000
2709,12,16257
2710,12,26000
2711,12,30620
2714,16,45000
2723,16,62000
2729,12,7000
2730,16,10000
2732,12,33955
2745,12,28000
2748,12,25000
2760,12,26000
2770,16,57000
2771,16,10000
2772,12,21000
2775,12,19500
2780,12,32000
2781,12,18000
2797,12,50000
2804,16,52000
2810,12,8000
2811,12,25000
2813,16,75000
2816,12,82000
2829,12,32000
2830,12,19000
2832,12,48000
2838,16,69500
2848,16,19285
2852,12,33000
2858,12,56000
2863,12,40000
2864,12,22000
2868,16,74000
2894,16,166924
2895,16,194031
2899,16,30000
2911,12,2000
2912,12,15000
2920,12,75000
2921,12,60000
2928,16,10088
2930,16,32000
2944,12,32000
2946,16,62000
2948,16,12500
2949,16,20000
2950,16,93000
2962,16,140000
2974,12,89000
2976,12,53000
2977,12,40000
2978,12,9000
2984,16,359118
2985,16,100000
2988,16,100000
2990,12,5000
2991,16,45000
2994,12,97200
2995,12,24000
2997,12,74000
2998,12,42000
3016,16,85000
3020,12,10800
3023,12,30000
3035,12,30000
3036,12,52000
3037,12,72000
3039,12,65000
3046,12,30000
3051,12,17000
3054,12,15000
3055,12,30000
3057,12,18000
3062,16,282588
3065,12,25000
3077,12,70000
3079,12,30000
3081,12,37000
3082,12,25000
3084,16,183223
3085,16,25000
3090,12,31600
3094,12,2200
3095,12,18000
3100,12,50000
3113,12,40000
3118,12,28000
3127,12,22000
3134,12,6000
3138,12,50000
3141,16,80000
3143,16,53000
3145,16,5000
3150,16,138000
3151,12,47000
3153,16,151083
3154,16,10000
3157,16,60000
3159,16,40000
3163,12,34000
3177,12,55000
3192,12,28000
3194,12,40000
3195,12,48000
3196,12,72000
3197,12,31500
3199,12,29500
3205,16,90000
3208,16,135000
3215,12,40000
3221,12,67000
3235,12,26000
3236,12,3000
3242,12,9000
3243,16,50000
3246,12,49400
3252,12,29000
3254,12,26800
3263,16,89000
3266,16,250
3267,12,23000
3273,12,24000
3277,12,60000
3285,12,30000
3289,16,140000
3303,16,18000
3310,12,32000
3324,12,96000
3325,12,300
3329,12,45000
3338,16,2000
3346,12,58000
3347,12,40000
3352,16,1200
3353,12,44000
3360,16,32000
3374,12,68000
3378,16,8220
3381,12,125000
3387,16,45000
3389,12,60000
3397,12,13000
3403,12,120000
3410,16,65000
3413,12,36000
3417,12,8000
3418,12,46000
3423,16,27000
3429,16,200
3433,16,4000
3444,12,19200
3452,12,20000
3455,12,61200
3456,12,10000
3463,16,57000
3464,16,96000
3465,12,35000
3466,16,60000
3467,12,17000
3471,12,40000
3475,12,26000
3479,12,80000
3487,12,39000
3491,12,13000
3492,12,47000
3493,12,40000
3495,12,80000
3502,12,41000
3503,12,88000
3506,16,18000
3508,12,18000
3511,12,16000
3513,12,27000
3514,12,24000
3522,12,500
3527,12,3800
3530,16,62000
3537,12,26000
3538,12,33900
3543,12,18000
3544,12,3200
3549,12,1500
3550,12,25000
3551,16,65000
3553,12,55000
3559,12,60000
3561,12,42000
3562,12,5000
3563,12,34000
3565,12,36000
3569,12,42000
3574,12,47000
3575,12,56000
3579,12,45000
3580,12,36000
3581,16,129000
3584,12,16000
3585,16,159168
3589,12,50987
3591,12,4471
3592,12,56000
3600,12,60000
3601,16,40000
3608,16,69000
3611,12,15000
3616,12,35000
3617,16,89000
3620,12,32000
3623,16,35000
3625,16,26000
3640,12,21000
3649,12,29400
3650,12,32000
3651,16,65000
3660,12,23400
3669,16,10000
3676,16,74000
3677,16,60000
3686,16,69000
3694,12,56000
3697,12,5000
3699,12,20477
3708,12,144000
3709,16,30000
3719,12,29000
3721,12,52000
3722,12,55000
3723,12,16000
3732,12,36000
3735,12,60000
3736,12,49000
3737,12,58000
3738,12,18000
3739,12,16000
3740,12,20000
3741,12,9300
3745,16,32089
3746,12,16390
3751,12,45000
3754,12,33000
3760,12,33000
3770,12,52000
3775,16,53000
3780,12,55000
3784,12,29000
3789,12,52000
3790,12,22049
3796,12,34000
3805,16,95000
3809,16,100000
3812,16,100000
3814,12,42000
3815,16,263445
3819,12,15000
3821,12,1500
3822,12,5000
3825,12,22000
3829,12,167803
3830,12,45000
3833,12,40000
3837,12,35000
3838,12,85000
3845,12,24000
3846,12,52000
3847,12,67000
3850,12,32000
3851,12,16000
3852,12,14000
3861,16,25000
3872,16,30000
3874,16,519340
3875,16,92000
3884,16,74000
3889,16,15000
3892,16,102000
3898,16,110000
3900,12,32000
3910,16,40000
3922,16,22000
3929,12,10000
3933,12,50000
3938,12,22000
3952,16,50000
3957,12,68000
3958,12,40000
3967,16,125000
3977,12,600
3980,16,444624
3994,12,26000
4004,12,46000
4013,12,36000
4014,12,62000
4022,12,90000
4023,16,65000
4025,12,24000
4028,12,24500
4030,16,15000
4032,12,35000
4036,12,52000
4045,16,50000
4046,12,18000
4048,12,25000
4049,12,90000
4056,16,50000
4057,16,35000
4062,12,52000
4064,12,20000
4065,12,9000
4067,12,30000
4071,12,15000
4077,12,15000
4085,12,11000
4089,12,20000
4090,12,58000
4097,12,66000
4103,12,36500
4105,12,3408
4106,16,62000
4108,16,23900
4112,12,5700
4113,12,9600
4114,12,34000
4128,12,40000
4130,12,32500
4141,12,6000
4142,12,20000
4145,12,25000
4147,16,32624
4159,12,30000
4161,12,45000
4163,12,29000
4164,16,20000
4171,16,90000
4172,16,34900
4173,12,12500
4175,12,26000
4184,12,25000
4196,12,23000
4205,12,32000
4216,12,48000
4220,12,15000
4222,12,23031
4225,16,20000
4239,12,48000
4240,12,50000
4242,12,48000
4249,12,26000
4251,12,62500
4257,16,34000
4263,12,16000
4268,12,84600
4274,12,11550
4278,12,80000
4279,12,150000
4280,16,49000
4285,16,40000
4296,16,40000
4299,16,42000
4300,12,56000
4303,12,32000
4312,12,18000
4314,12,30000
4324,12,58000
4326,12,13200
4327,12,38000
4333,12,20000
4338,12,22000
4339,12,12000
4345,12,14000
4350,16,26000
4352,16,30000
4353,16,120000
4355,16,22000
4374,12,30000
4382,16,18000
4386,12,19900
4390,12,34000
4392,16,37000
4407,16,185662
4410,16,63000
4413,16,30000
4426,16,211052
4427,12,45000
4448,16,95000
4459,12,9000
4461,12,18000
4466,16,80000
4469,12,31200
4480,16,202617
4487,12,33000
4496,12,47000
4498,12,39000
4505,12,25000
4508,16,72000
4517,16,146000
4519,12,50000
4520,12,40000
4524,12,50000
4531,16,113000
4532,16,73000
4538,12,40000
4540,16,57000
4541,12,35000
4543,12,1800
4544,12,12000
4548,16,100000
4557,12,6580
4561,12,16000
4563,12,60000
4565,16,98000
4566,12,90000
4569,12,85000
4583,12,21000
4586,12,38154
4589,12,38200
4594,12,25000
4596,12,65000
4601,12,30000
4604,12,27412
4606,16,15000
4619,12,9500
4621,12,24000
4623,12,62000
4630,12,130000
4632,16,45000
4637,12,25000
4638,12,17000
4641,12,18000
4646,12,24000
4652,16,60000
4662,16,52000
4668,16,209400
4676,12,45000
4678,12,5000
4680,12,14000
4695,16,91500
4698,16,108000
4701,12,197062
4707,12,72000
4710,12,15000
4711,12,40000
4714,12,45000
4716,12,58000
4720,12,67000
4722,12,35000
4724,12,8400
4732,12,21424
4734,12,12000
4742,16,30000
4746,12,36000
4747,12,12000
4752,12,42000
4753,16,33000
4755,12,54000
4759,12,62000
4762,12,8600
4764,12,55000
4765,12,70000
4770,12,31000
4772,12,24000
4774,12,4800
4776,12,41000
4777,12,22000
4778,12,26000
4779,12,27000
4780,12,25000
4788,12,66000
4790,12,13000
4793,16,115000
4795,16,70000
4804,12,12000
4812,16,80000
4817,12,35000
4818,12,21000
4820,16,25000
4822,12,30775
4828,16,66768
4829,16,126000
4830,16,344856
4834,16,80000
4843,16,45000
4849,12,20000
4858,12,64000
4864,12,8575
4871,16,34000
4873,16,55000
4876,12,35000
4879,12,26500
4884,12,33000
4888,12,38083
4892,16,72000
4894,16,81000
4896,16,90000
4900,12,50000
4906,12,7300
4911,12,6000
4914,12,29000
4926,12,48000
4927,16,159193
4934,12,25000
4939,16,41000
4942,12,54000
4944,16,75000
4945,12,35000
4948,12,18000
4952,12,26000
4955,12,40000
4966,12,32000
4979,12,58000
4983,12,8000
4986,12,410008
4992,12,30000
5007,12,63000
5029,16,120000
5041,12,14000
5060,12,24314
5085,12,9600
5097,12,119000
5099,16,40000
5106,12,120000
5108,16,33000
5115,12,27400
5131,12,21213
5139,12,15000
5140,16,10800
5145,12,36000
5158,12,50000
5159,12,1200
5161,12,37000
5162,12,100000
5166,16,75000
5176,12,38000
5179,12,23000
5180,12,3563
5184,12,38000
5186,12,29000
5188,16,46000
5189,12,27000
5192,12,30000
5193,16,56000
5194,12,32000
5195,12,28398
5208,12,25000
5211,12,35718
5219,12,83000
5226,16,85000
5231,12,12000
5236,12,8400
5238,12,22000
5244,16,60000
5247,12,26000
5250,16,55000
5251,12,50000
5252,12,9000
5257,12,40000
5258,12,33800
5262,12,11500
5264,16,65000
5268,12,11548
5272,12,20000
5278,12,55000
5287,16,3200
5288,12,37500
5289,16,40264
5291,12,47500
5294,12,16000
5301,12,29479
5307,12,28000
5311,12,10000
5316,12,58000
5317,12,7200
5326,16,35000
5327,12,35000
5334,16,75000
5338,12,21939
5341,16,52000
5342,16,95000
5352,16,110000
5353,12,3200
5356,12,36800
5357,12,34000
5362,12,56000
5366,12,35000
5372,16,12000
5373,16,35000
5374,16,38400
5376,12,12000
5381,16,46000
5385,12,8000
5388,16,18000
5393,16,59850
5398,16,135000
5401,12,35000
5402,12,50000
5406,16,32000
5410,16,57000
5416,16,15000
5417,12,196680
5418,16,60000
5420,16,125000
5421,12,13000
5430,16,37000
5435,12,36000
5436,12,29000
5439,16,110000
5440,12,38000
5450,12,8500
5451,12,50000
5456,12,25000
5470,12,43000
5474,16,62000
5476,12,26000
5484,12,900
5485,16,47000
5486,12,20500
5491,12,52000
5493,12,56000
5494,12,29800
5499,12,50000
5502,12,16000
5504,16,95000
5505,12,22050
5508,12,20000
5510,12,20000
5513,16,25000
5514,12,10000
5516,12,22500
5521,12,18560
5522,12,3000
5524,12,1300
5528,12,38000
5531,12,110000
5537,12,19000
5538,12,15000
5539,12,25000
5544,12,10056
5545,12,16000
5546,12,32000
5550,12,11000
5551,12,29000
5555,12,14000
5558,12,45000
5565,16,36000
5566,12,25000
5572,12,31000
5573,12,24000
5575,12,15785
5576,12,34000
5580,12,47000
5581,12,22000
5585,12,54000
5590,16,42000
5591,16,65000
5599,16,82000
5607,12,30000
5613,12,30000
5614,12,26000
5616,12,35000
5617,12,20000
5618,16,43000
5625,12,40000
5626,12,52000
5637,12,52000
5640,12,30000
5646,12,33000
5653,12,52000
5666,16,80000
5668,12,60000
5669,12,38000
5671,12,20000
5675,16,67500
5677,12,72000
5684,12,12000
5694,12,42000
5696,12,72000
5700,12,70000
5705,12,10900
5711,12,42000
5712,12,26280
5718,12,9000
11759,12,50000
11760,12,4000
11785,12,78000
11786,12,65000
11791,16,123000
11792,12,19000
11793,12,56000
11794,12,40000
11796,16,24000
11800,12,60000
11801,12,350
11807,12,80000
11809,16,39000
11811,12,8000
11813,12,30456
11820,16,50000
11822,12,57500
11830,12,2000
11835,16,14000
11839,12,45000
11846,12,54000
11848,16,24500
11849,12,50000
11854,16,87000
11858,12,24000
11860,12,40000
11864,12,24000
11865,12,42500
11867,16,28000
11868,16,102831
11870,16,11000
11875,12,57000
11878,12,22000
11879,12,13691
11880,12,15000
11881,16,15000
11883,12,44000
11884,12,2200
11887,12,24200
11891,12,10000
11894,16,30330
11898,16,58500
11905,16,60000
11909,12,16000
11917,12,35000
11920,16,338101
11925,12,58000
11926,12,45000
11934,12,90000
11935,12,24000
11936,16,125000
11939,12,15000
11940,12,14000
11942,12,39000
11947,12,90000
11949,12,26000
11950,12,2000
11955,16,42000
11958,12,75000
11973,12,60000
11981,12,31000
11993,12,40000
12000,12,33000
12006,16,17000
12008,12,60000
12014,16,85000
12016,16,150000
12018,12,52900
12019,12,58000
12022,12,63000
12031,12,40000
12032,12,24000
12034,16,161182
12039,12,22000
12041,12,46000
12042,12,3000
12043,12,628
12055,12,51000
12057,12,3000
12068,16,49000
12076,12,6000
12082,12,4000
12083,12,22000
12084,12,33793
12088,16,37000
12090,12,30000
12092,16,30000
12093,12,82000
12097,12,54000
12102,16,100000
12110,16,91000
12116,16,90000
12125,12,42000
12126,12,21000
12128,12,30000
12129,16,39500
12130,12,24000
12131,12,23000
12133,12,11560
12139,12,12600
