CommonName,Species,Mass,Metab,Life
Rodent,Peromyscus_californicus,4.55E-02,2.26E+01,2.5
White-footed_mouse,Peromyscus_leucopus,2.22E-02,2.68E+01,1.5
Shrew,Sorex_caecutiens,3.60E-03,1.50E+01,0.8
Common_shrew,Sorex_araneus,5.00E-03,1.76E+01,0.8
Chinchilla,Chinchilla_laniger,4.94E-01,1.12E+02,8
Viscacha,Lagostomus_maximus,6.78E+00,9.16E+02,13
Rodent,Kerodon_rupestris,7.50E-01,1.93E+02,6
Guinea_pig,Cavia_porcellus,5.00E-01,1.92E+02,6
Marmot,Marmota_monax,2.65E+00,3.20E+02,10
Rat,Rattus_fuscipes,7.60E-02,4.07E+01,3
Rat,Rattus_lutreolus,1.09E-01,3.05E+01,3.5
Rat,Rattus_rattus,1.32E-01,8.09E+01,3.5
Rat,Rattus_sordidus,1.87E-01,5.14E+01,4
Cotton_rat,Sigmodon_hispidus,1.61E-01,1.68E+02,3
Brown_hare,Lepus_europaeus,2.50E+00,5.28E+02,8
Snowshoe_hare,Lepus_americanus,1.58E+00,6.86E+02,7
Jack_Rabbit,Lepus_californicus,2.30E+00,6.23E+02,8
Mountain_hare,Lepus_timidus,3.00E+00,5.22E+02,9
Hare,Lepus_alleni,3.36E+00,7.30E+02,9
Cottontail,Sulvilagus_audubonii,7.02E-01,2.20E+02,7
Pronghorn,Antilocapra_americana,3.20E+01,4.32E+03,18
Camel,Camelus_dromedarius,4.07E+02,2.36E+04,26
Asian_elephant,Elephas_maximum,3.00E+03,1.65E+05,54
Roe_deer,Capreolus_capreolus,1.90E+01,3.67E+03,13
Red_deer,Cervus_elaphus,5.80E+01,7.80E+03,18
Horse,Equus_cabalus,4.00E+02,3.20E+04,40
Merino_sheep,Ovis_aries,4.90E+01,4.20E+03,20
Sheep,Ovis_Canadensis,6.50E+01,1.07E+04,20
Buffalo,Bubalus_caffer,4.20E+02,2.94E+04,35
Chamois,Rupicapra_rupicapra,4.00E+01,3.14E+03,21
Swine,Sus_scrofa,1.40E+02,1.20E+04,15
Collored_peccary,Tayassu_tajacu,2.02E+01,8.26E+02,15
Otter,Lutra_lutra,1.00E+01,2.20E+03,15
Wolverine,Gulogulo,1.27E+01,2.82E+03,15
Badger,Meles_meles,1.11E+01,1.44E+03,16
Sea_otter,Enhydra_lutris,4.00E+01,1.24E+04,16
Fox,Vulpes_vulpes,5.01E+00,1.21E+03,12
Coyote,canis_latrans,1.00E+01,1.32E+03,18
Dog,Canis_familiaris,1.40E+01,1.88E+03,18
Jaguar,Panthera_onca,1.80E+01,2.44E+03,20
Cat,Felis_silvestris,3.00E+00,5.46E+02,11
Mink,Mustela_vis_on,6.60E-01,2.39E+02,8
Harbor_seal,Phoca_vitulina,2.60E+01,7.40E+03,13
Beluga_whale,Delphinapterus_leucas,1.70E+02,2.30E+04,25
Bottle-nosed_whale,Hyperoodon_ampullatus,1.00E+03,6.95E+04,40
Bat,Desmodus_rotundus,2.90E-02,9.65E+00,8
Bat,Vampyrops_lineatus,2.20E-02,1.56E+01,6
Ghost_bat,Macroderma_gigas,1.48E-01,6.80E+01,10
Molossid_bat,Eumops_per_otis,5.70E-02,1.42E+01,10
Fox_bat,Pteropus_policephalus,5.98E-01,1.53E+02,13
Chimpanzee,Pan_troglodytes,4.50E+01,4.62E+03,40
Rhesus_monkey,Macaca_mulatta,5.00E+00,9.60E+02,25
Orangutan,Pongo_pygma_eus,1.50E+02,1.55E+04,45
Gorilla,Gorilla_gorilla,2.50E+02,2.10E+04,45
Gibbon,Hylobater_lar,8.00E+00,1.51E+03,25
Man,Homo_sapiens,6.50E+01,7.56E+03,75
